file,experiment_no,experiment_total,users,timestamp,stage_users,stage_pass,login_ok_num,login_ok_den,login_fail,cycle_ok_num,cycle_ok_den,cycle_fail,create_post_2xx,create_post_3xx,create_post_4xx,create_post_5xx,create_post_avg,create_post_fail,create_post_max,create_post_mean,create_post_min,create_post_ok,create_post_ok_rate,create_post_p95,create_post_p99,create_post_p99_9,create_post_timeout,create_post_total,list_posts_2xx,list_posts_3xx,list_posts_4xx,list_posts_5xx,list_posts_avg,list_posts_fail,list_posts_max,list_posts_mean,list_posts_min,list_posts_ok,list_posts_ok_rate,list_posts_p95,list_posts_p99,list_posts_p99_9,list_posts_timeout,list_posts_total,login_2xx,login_3xx,login_4xx,login_5xx,login_avg,login_max,login_mean,login_min,login_ok,login_ok_rate,login_p95,login_p99,login_p99_9,login_timeout,login_total
cluster_exp2_250_20260227_015436.txt,2,5,250,2026-02-27 02:02:59 UTC,250,yes,250,250,0,7494,7500,6,7494,0,0,0,16.88,6,226.00,16.88,1.00,7494,99.92%,52.00,76.00,124.00,0,7500,7500,0,0,0,13.93,0,101.00,13.93,0.00,7500,100.00%,37.00,68.00,89.00,0,7500,250,0,0,0,91.53,188.00,91.53,51.00,250,100.00%,155.00,183.00,188.00,0,250
cluster_exp2_2750_20260227_015436.txt,2,5,2750,2026-02-27 02:09:45 UTC,2750,no,2750,2750,0,51158,52704,1546,51245,0,0,1340,812.59,1459,3315.00,812.59,30.00,51245,97.23%,1011.00,2208.00,3022.00,119,52704,52515,0,0,68,760.78,189,3102.00,760.78,1.00,52515,99.64%,944.00,1288.00,3019.00,121,52704,2750,0,0,0,66.62,499.00,66.62,6.00,2750,100.00%,272.00,400.00,498.00,0,2750
cluster_exp2_3000_20260227_015436.txt,2,5,3000,2026-02-27 02:10:27 UTC,3000,no,3000,3000,0,54241,56240,1999,54922,0,0,575,870.65,1318,35876.00,870.65,245.00,54922,97.66%,998.00,4449.00,20001.00,743,56240,54937,0,0,681,777.05,1303,22610.00,777.05,1.00,54937,97.68%,932.00,3449.00,14242.00,622,56240,3000,0,0,0,59.86,376.00,59.86,7.00,3000,100.00%,126.00,162.00,376.00,0,3000
cluster_exp2_500_20260227_015436.txt,2,5,500,2026-02-27 02:03:38 UTC,500,yes,500,500,0,14999,15000,1,14999,0,0,1,34.97,1,1081.00,34.97,2.00,14999,99.99%,118.00,215.00,286.00,0,15000,15000,0,0,0,26.75,0,256.00,26.75,0.00,15000,100.00%,78.00,135.00,235.00,0,15000,500,0,0,0,78.13,307.00,78.13,11.00,500,100.00%,177.00,196.00,307.00,0,500
cluster_exp2_750_20260227_015436.txt,2,5,750,2026-02-27 02:04:18 UTC,750,yes,750,750,0,22499,22500,1,22499,0,0,1,30.69,1,473.00,30.69,1.00,22499,100.00%,92.00,283.00,329.00,0,22500,22500,0,0,0,21.32,0,189.00,21.32,0.00,22500,100.00%,61.00,104.00,147.00,0,22500,750,0,0,0,71.02,245.00,71.02,8.00,750,100.00%,184.00,238.00,245.00,0,750
cluster_exp3_1000_20260227_015436.txt,3,5,1000,2026-02-27 02:13:21 UTC,1000,yes,1000,1000,0,29997,30000,3,29997,0,0,3,33.37,3,468.00,33.37,1.00,29997,99.99%,94.00,363.00,407.00,0,30000,30000,0,0,0,22.82,0,196.00,22.82,0.00,30000,100.00%,70.00,136.00,170.00,0,30000,1000,0,0,0,66.14,293.00,66.14,10.00,1000,100.00%,179.00,276.00,293.00,0,1000
cluster_exp3_1250_20260227_015436.txt,3,5,1250,2026-02-27 02:14:01 UTC,1250,no,1250,1250,0,35592,37500,1908,35592,0,0,1906,93.73,1908,1762.00,93.73,0.00,35592,94.91%,256.00,595.00,1751.00,0,37500,37500,0,0,0,67.39,0,459.00,67.39,0.00,37500,100.00%,183.00,247.00,402.00,0,37500,1250,0,0,0,67.66,376.00,67.66,10.00,1250,100.00%,146.00,375.00,376.00,0,1250
cluster_exp3_1500_20260227_015436.txt,3,5,1500,2026-02-27 02:14:42 UTC,1500,yes,1500,1500,0,44481,44998,517,44481,0,0,507,75.28,517,1637.00,75.28,0.00,44481,98.85%,206.00,1155.00,1580.00,0,44998,44998,0,0,0,47.42,0,1097.00,47.42,0.00,44998,100.00%,134.00,197.00,1024.00,0,44998,1500,0,0,0,67.00,354.00,67.00,5.00,1500,100.00%,259.00,336.00,353.00,0,1500
cluster_exp3_1750_20260227_015436.txt,3,5,1750,2026-02-27 02:15:23 UTC,1750,no,1750,1750,0,50682,52346,1664,50682,0,0,1664,113.95,1664,3579.00,113.95,0.00,50682,96.82%,297.00,1049.00,2853.00,0,52346,52346,0,0,0,82.93,0,481.00,82.93,0.00,52346,100.00%,219.00,289.00,432.00,0,52346,1750,0,0,0,61.21,258.00,61.21,8.00,1750,100.00%,187.00,207.00,258.00,0,1750
cluster_exp3_2000_20260227_015436.txt,3,5,2000,2026-02-27 02:16:03 UTC,2000,no,2000,2000,0,51838,54465,2627,51838,0,0,1293,314.36,2627,7928.00,314.36,1.00,51838,95.18%,722.00,4028.00,5388.00,1290,54465,54404,0,0,0,179.70,61,7898.00,179.70,0.00,54404,99.89%,382.00,513.00,3325.00,54,54465,2000,0,0,0,75.16,408.00,75.16,9.00,2000,100.00%,244.00,365.00,408.00,0,2000
cluster_exp3_2250_20260227_015436.txt,3,5,2250,2026-02-27 02:16:45 UTC,2250,no,2250,2250,0,52703,55372,2669,52922,0,0,1081,443.31,2450,35778.00,443.31,3.00,52922,95.58%,697.00,5104.00,14246.00,1368,55372,54655,0,0,0,308.15,717,19451.00,308.15,1.00,54655,98.71%,548.00,3061.00,8175.00,717,55372,2250,0,0,0,58.91,467.00,58.91,8.00,2250,100.00%,122.00,437.00,466.00,0,2250
cluster_exp3_2500_20260227_015436.txt,3,5,2500,2026-02-27 02:17:38 UTC,2500,no,2500,2500,0,56009,59834,3825,56041,0,0,2066,556.33,3793,10329.00,556.33,1.00,56041,93.66%,1571.00,4382.00,10292.00,1658,59834,59603,0,0,0,388.46,231,9326.00,388.46,1.00,59603,99.61%,637.00,1400.00,6769.00,231,59834,2500,0,0,0,94.00,856.00,94.00,15.00,2500,100.00%,182.00,205.00,830.00,0,2500
cluster_exp3_250_20260227_015436.txt,3,5,250,2026-02-27 02:11:22 UTC,250,yes,250,250,0,7497,7500,3,7497,0,0,0,13.85,3,220.00,13.85,1.00,7497,99.96%,31.00,58.00,156.00,0,7500,7500,0,0,0,11.81,0,145.00,11.81,0.00,7500,100.00%,28.00,43.00,139.00,0,7500,250,0,0,0,118.87,243.00,118.87,61.00,250,100.00%,236.00,240.00,243.00,0,250
cluster_exp3_2750_20260227_015436.txt,3,5,2750,2026-02-27 02:18:20 UTC,2750,no,2750,2750,0,49799,53568,3769,50959,0,0,1746,801.18,2609,19383.00,801.18,29.00,50959,95.13%,1273.00,3668.00,8102.00,863,53568,51894,0,0,881,751.90,1674,19384.00,751.90,0.00,51894,96.88%,994.00,3087.00,8124.00,793,53568,2750,0,0,0,56.82,332.00,56.82,5.00,2750,100.00%,113.00,266.00,331.00,0,2750
cluster_exp3_3000_20260227_015436.txt,3,5,3000,2026-02-27 02:19:06 UTC,3000,no,3000,3000,0,57287,60714,3427,57458,0,0,1132,762.15,3256,6653.00,762.15,32.00,57458,94.64%,1861.00,4838.00,6532.00,2124,60714,60025,0,0,24,580.08,689,6067.00,580.08,1.00,60025,98.87%,1012.00,3210.00,5889.00,665,60714,3000,0,0,0,53.72,158.00,53.72,8.00,3000,100.00%,117.00,141.00,154.00,0,3000
cluster_exp3_500_20260227_015436.txt,3,5,500,2026-02-27 02:12:01 UTC,500,yes,500,500,0,14997,15000,3,14997,0,0,0,41.84,3,318.00,41.84,1.00,14997,99.98%,127.00,268.00,312.00,0,15000,15000,0,0,0,34.26,0,231.00,34.26,0.00,15000,100.00%,93.00,158.00,194.00,0,15000,500,0,0,0,65.24,257.00,65.24,9.00,500,100.00%,144.00,152.00,257.00,0,500
cluster_exp3_750_20260227_015436.txt,3,5,750,2026-02-27 02:12:41 UTC,750,yes,750,750,0,22500,22500,0,22500,0,0,0,49.18,0,375.00,49.18,1.00,22500,100.00%,133.00,266.00,329.00,0,22500,22500,0,0,0,39.57,0,255.00,39.57,0.00,22500,100.00%,107.00,162.00,227.00,0,22500,750,0,0,0,64.06,159.00,64.06,6.00,750,100.00%,117.00,143.00,159.00,0,750
cluster_exp4_1000_20260227_015436.txt,4,5,1000,2026-02-27 02:21:47 UTC,1000,no,1000,1000,0,12262,30000,17738,12262,0,0,17731,25.47,17738,1068.00,25.47,0.00,12262,40.87%,134.00,282.00,456.00,0,30000,30000,0,0,0,37.01,0,436.00,37.01,0.00,30000,100.00%,222.00,241.00,254.00,0,30000,1000,0,0,0,82.29,339.00,82.29,6.00,1000,100.00%,289.00,337.00,338.00,0,1000
cluster_exp4_1250_20260227_015436.txt,4,5,1250,2026-02-27 02:22:27 UTC,1250,yes,1250,1250,0,37471,37500,29,37471,0,0,5,53.06,29,680.00,53.06,1.00,37471,99.92%,201.00,507.00,673.00,0,37500,37500,0,0,0,40.13,0,486.00,40.13,0.00,37500,100.00%,154.00,249.00,409.00,0,37500,1250,0,0,0,63.41,169.00,63.41,8.00,1250,100.00%,127.00,136.00,168.00,0,1250
cluster_exp4_1500_20260227_015436.txt,4,5,1500,2026-02-27 02:23:08 UTC,1500,yes,1500,1500,0,44919,44920,1,44919,0,0,1,68.88,1,1254.00,68.88,2.00,44919,100.00%,466.00,777.00,1198.00,0,44920,44920,0,0,0,49.79,0,1033.00,49.79,0.00,44920,100.00%,283.00,638.00,940.00,0,44920,1500,0,0,0,67.55,186.00,67.55,8.00,1500,100.00%,155.00,178.00,180.00,0,1500
cluster_exp4_1750_20260227_015436.txt,4,5,1750,2026-02-27 02:23:48 UTC,1750,yes,1750,1750,0,52078,52086,8,52078,0,0,6,95.84,8,2427.00,95.84,1.00,52078,99.98%,449.00,934.00,2353.00,0,52086,52086,0,0,0,61.70,0,1049.00,61.70,0.00,52086,100.00%,256.00,459.00,851.00,0,52086,1750,0,0,0,64.57,346.00,64.57,12.00,1750,100.00%,124.00,337.00,345.00,0,1750
cluster_exp4_2000_20260227_015436.txt,4,5,2000,2026-02-27 02:24:29 UTC,2000,no,2000,2000,0,51533,52778,1245,51607,0,0,357,389.70,1171,20782.00,389.70,2.00,51607,97.78%,559.00,4035.00,14212.00,814,52778,52481,0,0,0,292.32,297,20625.00,292.32,0.00,52481,99.44%,504.00,1982.00,10218.00,297,52778,2000,0,0,0,64.44,470.00,64.44,9.00,2000,100.00%,117.00,408.00,469.00,0,2000
cluster_exp4_2250_20260227_015436.txt,4,5,2250,2026-02-27 02:25:11 UTC,2250,no,2250,2250,0,52847,55887,3040,52955,0,0,1454,488.62,2932,14180.00,488.62,4.00,52955,94.75%,713.00,5548.00,11194.00,1426,55887,55481,0,0,0,351.23,406,11212.00,351.23,2.00,55481,99.27%,550.00,3053.00,5139.00,406,55887,2250,0,0,0,58.51,321.00,58.51,10.00,2250,100.00%,130.00,162.00,315.00,0,2250
cluster_exp4_2500_20260227_015436.txt,4,5,2500,2026-02-27 02:25:54 UTC,2500,no,2500,2500,0,51067,53654,2587,51206,0,0,816,740.36,2448,36097.00,740.36,2.00,51206,95.44%,2446.00,8275.00,20001.00,1632,53654,53209,0,0,0,372.69,445,19762.00,372.69,0.00,53209,99.17%,620.00,1998.00,6137.00,445,53654,2500,0,0,0,79.95,852.00,79.95,5.00,2500,100.00%,324.00,762.00,852.00,0,2500
cluster_exp4_250_20260227_015436.txt,4,5,250,2026-02-27 02:19:48 UTC,250,yes,250,250,0,7500,7500,0,7500,0,0,0,12.83,0,98.00,12.83,2.00,7500,100.00%,29.00,49.00,90.00,0,7500,7500,0,0,0,11.64,0,64.00,11.64,0.00,7500,100.00%,28.00,45.00,61.00,0,7500,250,0,0,0,95.27,189.00,95.27,60.00,250,100.00%,150.00,189.00,189.00,0,250
cluster_exp4_2750_20260227_015436.txt,4,5,2750,2026-02-27 02:26:47 UTC,2750,no,2750,2750,0,57108,61097,3989,57108,0,0,1068,661.29,3989,14871.00,661.29,14.00,57108,93.47%,3245.00,5195.00,14791.00,2921,61097,60918,0,0,0,353.02,179,8463.00,353.02,2.00,60918,99.71%,654.00,1175.00,5815.00,179,61097,2750,0,0,0,80.19,840.00,80.19,5.00,2750,100.00%,541.00,779.00,798.00,0,2750
cluster_exp4_3000_20260227_015436.txt,4,5,3000,2026-02-27 02:27:29 UTC,3000,no,3000,3000,0,60456,61903,1447,60456,0,0,1447,743.12,1447,3202.00,743.12,23.00,60456,97.66%,1188.00,2531.00,3167.00,0,61903,61903,0,0,0,630.98,0,1920.00,630.98,5.00,61903,100.00%,1102.00,1351.00,1797.00,0,61903,3000,0,0,0,54.30,182.00,54.30,6.00,3000,100.00%,132.00,171.00,182.00,0,3000
cluster_exp4_500_20260227_015436.txt,4,5,500,2026-02-27 02:20:28 UTC,500,yes,500,500,0,14996,15000,4,14996,0,0,0,24.20,4,252.00,24.20,0.00,14996,99.97%,77.00,130.00,208.00,0,15000,15000,0,0,0,18.27,0,128.00,18.27,0.00,15000,100.00%,49.00,80.00,117.00,0,15000,500,0,0,0,78.76,254.00,78.76,4.00,500,100.00%,227.00,252.00,254.00,0,500
cluster_exp4_750_20260227_015436.txt,4,5,750,2026-02-27 02:21:07 UTC,750,yes,750,750,0,22486,22500,14,22486,0,0,0,40.91,14,382.00,40.91,1.00,22486,99.94%,138.00,297.00,353.00,0,22500,22496,0,0,0,31.49,4,265.00,31.49,0.00,22496,99.98%,100.00,162.00,234.00,0,22500,750,0,0,0,68.64,170.00,68.64,13.00,750,100.00%,148.00,169.00,170.00,0,750
cluster_exp5_1000_20260227_015436.txt,5,5,1000,2026-02-27 02:30:09 UTC,1000,yes,1000,1000,0,29995,30000,5,29995,0,0,3,36.28,5,588.00,36.28,1.00,29995,99.98%,113.00,390.00,492.00,0,30000,30000,0,0,0,24.72,0,245.00,24.72,0.00,30000,100.00%,68.00,163.00,225.00,0,30000,1000,0,0,0,73.11,210.00,73.11,8.00,1000,100.00%,150.00,182.00,210.00,0,1000
cluster_exp5_1250_20260227_015436.txt,5,5,1250,2026-02-27 02:30:50 UTC,1250,yes,1250,1250,0,37044,37500,456,37044,0,0,450,54.58,456,1262.00,54.58,0.00,37044,98.78%,210.00,491.00,1199.00,0,37500,37494,0,0,0,34.96,6,1298.00,34.96,0.00,37494,99.98%,97.00,182.00,1146.00,0,37500,1250,0,0,0,71.19,197.00,71.19,5.00,1250,100.00%,143.00,163.00,196.00,0,1250
cluster_exp5_1500_20260227_015436.txt,5,5,1500,2026-02-27 02:31:30 UTC,1500,no,1500,1500,0,43938,45000,1062,43938,0,0,1049,50.10,1062,1884.00,50.10,1.00,43938,97.64%,229.00,561.00,1531.00,0,45000,45000,0,0,0,33.06,0,576.00,33.06,0.00,45000,100.00%,144.00,340.00,483.00,0,45000,1500,0,0,0,67.38,197.00,67.38,8.00,1500,100.00%,156.00,185.00,196.00,0,1500
cluster_exp5_1750_20260227_015436.txt,5,5,1750,2026-02-27 02:32:11 UTC,1750,no,1750,1750,0,48861,51953,3092,48861,0,0,3092,171.86,3092,2458.00,171.86,0.00,48861,94.05%,510.00,1329.00,2000.00,0,51953,51953,0,0,0,133.99,0,1400.00,133.99,0.00,51953,100.00%,405.00,507.00,1332.00,0,51953,1750,0,0,0,61.57,174.00,61.57,9.00,1750,100.00%,128.00,162.00,173.00,0,1750
cluster_exp5_2000_20260227_015436.txt,5,5,2000,2026-02-27 02:32:52 UTC,2000,no,2000,2000,0,51977,53316,1339,51977,0,0,27,376.88,1339,8211.00,376.88,3.00,51977,97.49%,634.00,4313.00,6324.00,1236,53316,52993,0,0,0,268.03,323,7126.00,268.03,0.00,52993,99.39%,479.00,790.00,5152.00,313,53316,2000,0,0,0,77.26,286.00,77.26,6.00,2000,100.00%,186.00,234.00,257.00,0,2000
cluster_exp5_2250_20260227_015436.txt,5,5,2250,2026-02-27 02:33:33 UTC,2250,no,2250,2250,0,50715,52615,1900,50891,0,0,910,676.60,1724,36124.00,676.60,6.00,50891,96.72%,844.00,4916.00,19372.00,814,52615,51362,0,0,693,587.70,1253,19376.00,587.70,1.00,51362,97.62%,807.00,3169.00,8175.00,560,52615,2250,0,0,0,67.55,406.00,67.55,3.00,2250,100.00%,188.00,364.00,396.00,0,2250
cluster_exp5_2500_20260227_015436.txt,5,5,2500,2026-02-27 02:34:29 UTC,2500,no,2500,2500,0,54358,57059,2701,54358,0,0,434,686.24,2701,36032.00,686.24,8.00,54358,95.27%,2404.00,7127.00,20001.00,2249,57059,56984,0,0,0,327.67,75,20289.00,327.67,1.00,56984,99.87%,510.00,718.00,7119.00,74,57059,2500,0,0,0,80.87,704.00,80.87,7.00,2500,100.00%,174.00,669.00,704.00,0,2500
cluster_exp5_250_20260227_015436.txt,5,5,250,2026-02-27 02:28:10 UTC,250,yes,250,250,0,7500,7500,0,7500,0,0,0,12.45,0,176.00,12.45,1.00,7500,100.00%,27.00,81.00,161.00,0,7500,7500,0,0,0,11.68,0,232.00,11.68,0.00,7500,100.00%,23.00,120.00,223.00,0,7500,250,0,0,0,90.10,230.00,90.10,51.00,250,100.00%,224.00,230.00,230.00,0,250
cluster_exp5_2750_20260227_015436.txt,5,5,2750,2026-02-27 02:35:20 UTC,2750,no,2750,2750,0,50971,53541,2570,51430,0,0,232,824.75,2111,19752.00,824.75,1.00,51430,96.06%,3030.00,6185.00,19488.00,1879,53541,52313,0,0,17,641.78,1228,19776.00,641.78,0.00,52313,97.71%,999.00,5105.00,19549.00,1211,53541,2750,0,0,0,91.49,955.00,91.49,5.00,2750,100.00%,282.00,852.00,954.00,0,2750
cluster_exp5_3000_20260227_015436.txt,5,5,3000,2026-02-27 02:36:09 UTC,3000,no,3000,3000,0,49835,54090,4255,49845,0,0,1119,939.48,4245,36135.00,939.48,3.00,49845,92.15%,4495.00,14232.00,20001.00,3118,54090,53007,0,0,6,520.44,1083,36041.00,520.44,1.00,53007,98.00%,680.00,5110.00,20001.00,1077,54090,3000,0,0,0,82.86,746.00,82.86,9.00,3000,100.00%,177.00,594.00,741.00,0,3000
